,angebot_id,startdate,enddate,laufzeitw_geschl,laufzeitw_alle,oadr_strasse,oadr_koord_lon_epsg4326,oadr_koord_lat_epsg4326,oadr_koord_genauigkeit,oadr_ortsteil,oadr_ortsteil_qual,oadr_plz,oadr_gkz,oadr_ort,oadr_kkz,oadr_kreis,oadr_bl,nachfrageart,nutzungsart,objektart,objekttyp,objekttyp_grob,objekttyp_fein,kosten,kosten_je_flaeche,kstn_nebenkosten,kstn_heizung,kstn_miete_gesamt,flaeche,fl_wohnen,baujahr,etage,anz_zimmer,aus_balkon_terrasse_janein,aus_garten_janein,aus_garten_eigen_janein,aus_lift_janein,aus_heiz_system,aus_kueche_einbau_janein,anz_parken,aus_klassen,oeig_denkmal_janein,zust_klassen,aadr_gewerblich_janein,oadr_koord_distanz,oadr_koord_distanz_sort,kstn_nk_inkl_heizung,aus_bad_mit_fenster_janein,oeig_keller_janein,oeig_neubau_janein,zust_erstbezug_janein,etagen,aus_heiz_befeuerung,zust_renoviert_janein,fl_nutz,zust_neuwertig_janein,kstn_parken_platz_miete,zust_modernisierungsjahr,zust_saniert_janein,anzart_nachmieter_janein,aus_barrierefrei_janein,oeig_wbs_janein,zust_sanierungsbedarf_janein,kueche,lift,nk_inkl_heizung_qm
13,3550916799,2023-02-03,,,8.1,Taunusstr. 74,8.23698,50.09047,1,Bergkirchenviertel,30.0,65183,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,1,550.0,19.64,150.0,,700.0,28.0,28.0,1992,2.0,1.0,True,,,True,,True,,1,,2,,1143,1143,True,,True,,,3.0,,,,,,2022.0,True,True,,,,1,1,5.36
14,3550743965,2023-02-03,2023-02-06,0.4,0.4,Hirschgraben,8.23849,50.08555,50,Bergkirchenviertel,30.0,65183,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,2,580.0,10.18,140.0,,720.0,57.0,57.0,1998,3.0,2.0,True,,,,1.0,,,1,,1,True,591,616,False,,True,,,4.0,0.0,,,,,,,,,,,0,0,2.46
15,3550587850,2023-02-02,2023-02-28,3.8,3.8,Schiersteiner Str. 39,8.22837,50.07184,1,Rheingauviertel,30.0,65187,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,1,490.0,13.16,130.0,,700.0,37.23,37.23,1994,2.0,1.5,,,,True,0.0,,1.0,2,,1,True,1370,1370,True,,,,,,,True,,,80.0,,,,,,,0,1,3.49
16,3550544495,2023-02-01,2023-02-28,3.8,3.8,Robert-Schumann-Str. 2,8.22377,50.07186,1,Camp Lindsey,30.0,65197,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,3,995.0,11.85,275.0,,1275.0,84.0,84.0,2002,2.0,3.0,True,,,,0.0,,1.0,1,False,2,,1616,1616,True,True,True,,,,,True,,,50.0,,True,,,,,0,0,3.27
17,3550332044,2023-01-30,,,8.6,,8.25919,50.0704,850,Südost,30.0,65189,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,4,1600.0,13.33,450.0,,2050.0,120.0,120.0,1999,-0.5,4.0,True,True,False,True,,True,2.0,1,,2,,1693,2118,True,True,True,,,,0.0,True,,,50.0,2022.0,True,,True,,,1,1,3.75
18,3549467324,2023-01-24,2023-03-08,6.2,6.2,Rheinstr. 11,8.24577,50.07829,1,Lessingstraße,30.0,65185,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,2,1230.0,17.08,105.0,105.0,1440.0,72.0,72.0,2019,5.0,2.0,True,True,,True,,True,1.0,1,False,2,True,392,392,False,,True,,,6.0,0.0,,8.38,True,150.0,,,,True,,,1,1,2.92
19,3550017554,2023-01-22,,,9.8,,8.22134,50.08723,600,,,65195,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,2,970.0,11.69,250.0,,1220.0,83.0,83.0,1997,2.0,2.5,True,,,,,True,1.0,2,,1,,1632,1932,,,True,,,,,,,,,,,,,,,1,0,3.01
20,3549110904,2023-01-20,2023-01-21,0.1,0.1,Emanuel-Geibel-Str. 9,8.23452,50.07495,1,Luxemburgplatz,30.0,65185,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,1,403.0,13.0,,,,31.0,31.0,1995,,1.0,,,,True,0.0,,,1,,1,True,818,818,,,True,,,,,,,,,,,,,,,0,1,0.0
21,3548814118,2023-01-18,2023-03-18,8.5,8.5,Emser Str. 69a,8.22716,50.08585,1,Riederbergstraße,30.0,65195,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,2,770.0,13.28,160.0,,930.0,58.0,58.0,1997,1.0,2.0,,,,True,1.0,,,1,,1,True,1191,1191,False,,True,,,2.0,,,5.0,,,,,,,,,0,1,2.76
22,3548683138,2023-01-17,2023-02-20,4.8,4.8,,8.24237,50.09187,700,Nordost,30.0,65193,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,2,890.0,14.13,380.0,,1270.0,63.0,63.0,1990,2.0,2.0,True,,,True,0.0,True,1.0,3,,1,True,1247,1597,True,,True,,,3.0,0.0,,,,80.0,,,,,,,1,1,6.03
